Observation id,Boccia137 2 2,,,,,,,
,,,,,,,,
Media file(s),,,,,,,,
,,,,,,,,
Player #1,Boccia137 2.MP4,,,,,,,
,,,,,,,,
Observation date,2019-03-27 15:24:28,,,,,,,
,,,,,,,,
Description,,,,,,,,
,,,,,,,,
Time offset (s),0.0,,,,,,,
,,,,,,,,
independent variables,,,,,,,,
variable,value,,,,,,,
,,,,,,,,
Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
159.846,Boccia137 2.MP4,262.200,14.99,Boccia 137,start of trial,,,POINT
160.596,Boccia137 2.MP4,262.200,14.99,Boccia 137,chest out of view,,,START
249.893,Boccia137 2.MP4,262.200,14.99,Boccia 137,gular pump,,,POINT
254.145,Boccia137 2.MP4,262.200,14.99,Boccia 137,chest out of view,,,STOP
254.145,Boccia137 2.MP4,262.200,14.99,Boccia 137,end of trial,,,POINT
